Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
CRUDL:Read,100000,0,0,363,2.99,0.00%,513.5,93.26,186.0
CRUDL:Create,100000,0,0,74,1.11,0.00%,514.2,77.02,153.4
CRUDL:Update,100000,0,0,36,0.71,0.00%,514.1,88.87,177.0
CRUDL:Delete,100000,0,0,47,0.68,0.00%,513.9,80.29,160.0
CRUDL:List,100000,0,0,46,0.85,0.00%,513.8,1448.45,2887.0
TOTAL,500000,0,0,363,1.54,0.00%,2562.5,1783.43,712.7
