Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
CRUDL:Read,100000,0,0,332,3.09,0.00%,487.9,92.43,194.0
CRUDL:Create,100000,0,0,173,1.93,0.00%,488.4,76.97,161.4
CRUDL:Update,100000,0,0,165,1.72,0.00%,488.4,84.41,177.0
CRUDL:Delete,100000,0,0,182,1.72,0.00%,488.2,76.28,160.0
CRUDL:List,100000,0,0,173,2.12,0.00%,488.0,1378.57,2893.0
TOTAL,500000,0,0,332,2.18,0.00%,2435.0,1705.14,717.1
