Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
CRUDL:Read,100000,0,0,218,1.58,0.00%,505.0,103.17,209.2
CRUDL:Create,100000,0,0,109,1.44,0.00%,505.3,87.12,176.6
CRUDL:Update,100000,0,0,54,0.86,0.00%,505.3,84.47,171.2
CRUDL:Delete,100000,0,0,56,0.75,0.00%,505.1,76.05,154.2
CRUDL:List,100000,0,0,58,1.08,0.00%,504.8,1433.69,2908.2
TOTAL,500000,0,0,218,1.19,0.00%,2519.5,1781.03,723.9
