Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
CRUDL:Read,100000,0,0,410,4.09,0.00%,476.1,87.02,187.2
CRUDL:Create,100000,0,0,182,2.16,0.00%,476.7,71.95,154.6
CRUDL:Update,100000,0,0,183,1.85,0.00%,476.7,82.95,178.2
CRUDL:Delete,100000,0,0,151,1.83,0.00%,476.5,75.01,161.2
CRUDL:List,100000,0,0,172,2.08,0.00%,476.3,1343.35,2888.2
TOTAL,500000,0,0,410,2.55,0.00%,2375.5,1656.06,713.9
