Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
CRUDL:Read,100000,0,0,238,2.29,0.00%,476.3,96.76,208.0
CRUDL:Create,100000,0,0,184,1.96,0.00%,476.6,81.63,175.4
CRUDL:Update,100000,0,0,171,1.83,0.00%,476.6,79.12,170.0
CRUDL:Delete,100000,0,0,150,1.66,0.00%,476.4,71.19,153.0
CRUDL:List,100000,0,0,188,2.25,0.00%,476.2,1351.75,2907.0
TOTAL,500000,0,0,238,2.01,0.00%,2376.9,1677.48,722.7
