Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
CRUDL:Read,100000,0,0,381,3.54,0.00%,480.2,90.05,192.0
CRUDL:Create,100000,0,0,133,1.96,0.00%,480.9,74.85,159.4
CRUDL:Update,100000,0,0,156,1.55,0.00%,480.8,82.17,175.0
CRUDL:Delete,100000,0,0,178,1.65,0.00%,480.7,74.17,158.0
CRUDL:List,100000,0,0,140,2.03,0.00%,480.5,1356.58,2891.0
TOTAL,500000,0,0,381,2.26,0.00%,2396.8,1673.74,715.1
