Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
CRUDL:Read,100000,0,0,341,2.84,0.00%,502.4,101.08,206.0
CRUDL:Create,100000,0,0,73,1.33,0.00%,502.9,85.15,173.4
CRUDL:Update,100000,0,0,45,1.01,0.00%,502.8,82.50,168.0
CRUDL:Delete,100000,0,0,49,0.92,0.00%,502.6,74.11,151.0
CRUDL:List,100000,0,0,97,1.38,0.00%,502.3,1424.86,2905.0
TOTAL,500000,0,0,341,1.65,0.00%,2505.7,1763.47,720.7
