Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
CRUDL:Read,100000,1,0,1006,26.24,0.00%,512.5,92.09,184.0
CRUDL:Create,100000,0,0,1008,25.03,0.00%,513.6,75.93,151.4
CRUDL:Update,100000,1,0,1004,26.54,0.00%,513.7,87.79,175.0
CRUDL:Delete,100000,0,0,1006,23.56,0.00%,513.6,79.24,158.0
CRUDL:List,100000,1,0,1005,26.56,0.00%,513.4,1446.52,2885.0
TOTAL,500000,1,0,1008,25.61,0.00%,2559.0,1775.99,710.7
